iter	Passed	Remaining
0	5	3444
1	10	3199
2	15	3111
3	20	3064
4	25	3044
5	30	3028
6	35	3007
7	40	2970
8	44	2937
9	49	2907
10	54	2906
11	59	2899
12	64	2898
13	69	2905
14	74	2906
15	79	2904
16	84	2898
17	89	2891
18	94	2891
19	100	2902
20	105	2895
21	110	2890
22	115	2885
23	119	2878
24	124	2874
25	129	2866
26	134	2862
27	139	2857
28	144	2850
29	149	2846
30	154	2839
31	159	2831
32	164	2826
33	169	2820
34	174	2816
35	179	2810
36	184	2805
37	189	2802
38	194	2799
39	199	2794
40	204	2788
41	209	2783
42	214	2777
43	219	2772
44	224	2769
45	229	2763
46	234	2758
47	239	2754
48	244	2748
49	249	2744
50	254	2739
51	259	2733
52	264	2728
53	269	2723
54	274	2718
55	279	2712
56	284	2708
57	289	2703
58	294	2697
59	299	2692
60	304	2686
61	309	2682
62	314	2677
63	319	2673
64	324	2668
65	329	2662
66	334	2658
67	339	2653
68	344	2647
69	349	2643
70	354	2638
71	359	2633
72	364	2628
73	368	2622
74	373	2616
75	378	2612
76	383	2607
77	388	2602
78	393	2598
79	398	2593
80	403	2588
81	409	2584
82	414	2579
83	419	2574
84	424	2569
85	429	2564
86	434	2559
87	439	2554
88	443	2549
89	448	2543
90	453	2538
91	458	2533
92	463	2528
93	468	2523
94	473	2518
95	478	2513
96	483	2507
97	488	2503
98	493	2498
99	498	2493
100	503	2488
101	508	2481
102	513	2477
103	518	2472
104	523	2467
105	528	2462
106	533	2456
107	538	2453
108	543	2447
109	548	2442
110	553	2438
111	558	2433
112	563	2428
113	568	2425
114	573	2420
115	578	2414
116	583	2409
117	588	2405
118	593	2400
119	598	2395
120	603	2390
121	608	2385
122	614	2381
123	619	2376
124	623	2371
125	628	2365
126	633	2360
127	638	2356
128	644	2351
129	649	2348
130	655	2345
131	660	2341
132	665	2336
133	670	2331
134	675	2326
135	680	2321
136	685	2316
137	690	2311
138	695	2306
139	700	2301
140	705	2296
141	710	2291
142	715	2286
143	720	2281
144	725	2276
145	730	2270
146	735	2266
147	740	2261
148	745	2256
149	750	2251
150	755	2246
151	760	2241
152	765	2236
153	770	2231
154	775	2226
155	780	2221
156	785	2215
157	790	2210
158	795	2205
159	800	2200
160	805	2195
161	810	2190
162	815	2185
163	820	2180
164	824	2174
165	829	2169
166	835	2165
167	840	2160
168	845	2155
169	850	2150
170	855	2145
171	860	2140
172	865	2135
173	870	2130
174	875	2125
175	880	2120
176	885	2115
177	890	2110
178	895	2105
179	900	2100
180	905	2095
181	910	2090
182	915	2085
183	920	2080
184	925	2075
185	930	2070
186	935	2065
187	940	2060
188	944	2054
189	949	2049
190	954	2044
191	959	2039
192	964	2034
193	969	2029
194	974	2024
195	979	2019
196	984	2014
197	989	2009
198	994	2004
199	999	1999
200	1004	1994
201	1010	1990
202	1015	1985
203	1020	1980
204	1025	1975
205	1030	1970
206	1034	1964
207	1039	1959
208	1044	1953
209	1049	1948
210	1054	1943
211	1059	1938
212	1064	1933
213	1069	1928
214	1074	1923
215	1079	1919
216	1084	1914
217	1089	1909
218	1095	1905
219	1100	1900
220	1105	1895
221	1110	1890
222	1115	1885
223	1120	1880
224	1125	1876
225	1130	1871
226	1135	1866
227	1140	1861
228	1145	1855
229	1150	1851
230	1155	1846
231	1160	1841
232	1165	1835
233	1170	1830
234	1175	1825
235	1180	1820
236	1185	1816
237	1190	1811
238	1195	1806
239	1200	1801
240	1205	1796
241	1210	1791
242	1215	1786
243	1220	1781
244	1225	1776
245	1230	1770
246	1235	1765
247	1240	1761
248	1245	1756
249	1250	1751
250	1256	1746
251	1261	1741
252	1266	1736
253	1271	1731
254	1276	1726
255	1281	1721
256	1286	1716
257	1291	1711
258	1296	1706
259	1301	1701
260	1306	1696
261	1311	1691
262	1316	1686
263	1321	1681
264	1326	1676
265	1331	1671
266	1336	1666
267	1341	1661
268	1346	1656
269	1351	1651
270	1356	1646
271	1361	1641
272	1366	1636
273	1371	1631
274	1376	1626
275	1381	1621
276	1386	1616
277	1391	1611
278	1396	1606
279	1401	1601
280	1406	1596
281	1411	1591
282	1416	1586
283	1421	1582
284	1426	1577
285	1431	1571
286	1436	1566
287	1441	1561
288	1446	1557
289	1451	1551
290	1456	1546
291	1461	1541
292	1466	1536
293	1471	1531
294	1476	1526
295	1481	1521
296	1486	1516
297	1491	1511
298	1496	1506
299	1501	1501
300	1506	1496
301	1511	1491
302	1516	1486
303	1521	1481
304	1526	1476
305	1531	1471
306	1536	1466
307	1541	1461
308	1546	1456
309	1551	1451
310	1556	1446
311	1561	1441
312	1566	1436
313	1571	1431
314	1576	1426
315	1581	1421
316	1586	1416
317	1591	1411
318	1597	1406
319	1602	1401
320	1607	1396
321	1612	1391
322	1617	1386
323	1622	1381
324	1627	1376
325	1632	1371
326	1637	1366
327	1642	1361
328	1647	1356
329	1652	1351
330	1657	1346
331	1662	1341
332	1667	1337
333	1672	1332
334	1677	1327
335	1682	1322
336	1688	1317
337	1693	1312
338	1698	1307
339	1703	1302
340	1708	1297
341	1713	1292
342	1718	1287
343	1723	1282
344	1728	1277
345	1734	1273
346	1739	1268
347	1744	1263
348	1749	1258
349	1754	1253
350	1759	1248
351	1765	1243
352	1770	1238
353	1775	1233
354	1780	1228
355	1785	1223
356	1790	1218
357	1795	1213
358	1801	1209
359	1806	1204
360	1811	1199
361	1816	1194
362	1821	1189
363	1826	1184
364	1831	1179
365	1837	1174
366	1842	1169
367	1847	1164
368	1852	1159
369	1857	1154
370	1862	1149
371	1867	1144
372	1872	1139
373	1878	1134
374	1883	1129
375	1888	1124
376	1893	1119
377	1898	1115
378	1903	1110
379	1908	1105
380	1913	1100
381	1918	1095
382	1923	1090
383	1929	1085
384	1934	1080
385	1939	1075
386	1944	1070
387	1949	1065
388	1954	1060
389	1959	1055
390	1964	1050
391	1970	1045
392	1975	1040
393	1980	1035
394	1985	1030
395	1990	1025
396	1995	1020
397	2001	1015
398	2006	1010
399	2011	1005
400	2016	1000
401	2021	995
402	2026	990
403	2031	985
404	2035	980
405	2041	975
406	2046	970
407	2051	965
408	2057	960
409	2062	955
410	2067	950
411	2072	945
412	2077	940
413	2083	935
414	2088	931
415	2093	926
416	2098	920
417	2103	916
418	2108	911
419	2114	906
420	2119	901
421	2124	896
422	2129	891
423	2134	886
424	2139	881
425	2145	876
426	2150	871
427	2155	866
428	2160	861
429	2165	856
430	2170	851
431	2175	846
432	2180	841
433	2186	836
434	2191	831
435	2196	826
436	2201	821
437	2206	816
438	2211	811
439	2216	805
440	2221	800
441	2226	795
442	2231	790
443	2236	785
444	2242	780
445	2247	775
446	2252	770
447	2257	765
448	2262	760
449	2267	755
450	2272	750
451	2278	745
452	2283	740
453	2288	735
454	2293	730
455	2298	725
456	2304	720
457	2309	715
458	2314	710
459	2319	705
460	2324	700
461	2329	695
462	2334	690
463	2340	685
464	2345	680
465	2350	675
466	2355	670
467	2360	665
468	2365	660
469	2370	655
470	2375	650
471	2380	645
472	2386	640
473	2391	635
474	2396	630
475	2401	625
476	2406	620
477	2411	615
478	2416	610
479	2421	605
480	2426	600
481	2431	595
482	2436	590
483	2442	585
484	2447	580
485	2452	575
486	2457	570
487	2462	565
488	2467	560
489	2472	555
490	2478	550
491	2483	545
492	2488	540
493	2493	535
494	2498	529
495	2503	525
496	2509	519
497	2514	514
498	2519	509
499	2524	504
500	2529	499
501	2534	494
502	2540	489
503	2545	484
504	2550	479
505	2556	474
506	2561	469
507	2566	464
508	2571	459
509	2577	454
510	2582	449
511	2588	444
512	2593	439
513	2598	434
514	2603	429
515	2608	424
516	2614	419
517	2619	414
518	2624	409
519	2629	404
520	2634	399
521	2639	394
522	2644	389
523	2650	384
524	2655	379
525	2660	374
526	2665	369
527	2671	364
528	2676	359
529	2681	354
530	2686	349
531	2692	344
532	2697	339
533	2702	334
534	2707	328
535	2712	323
536	2718	318
537	2723	313
538	2728	308
539	2733	303
540	2738	298
541	2743	293
542	2748	288
543	2753	283
544	2759	278
545	2764	273
546	2769	268
547	2774	263
548	2779	258
549	2785	253
550	2790	248
551	2795	243
552	2800	238
553	2805	232
554	2810	227
555	2816	222
556	2821	217
557	2826	212
558	2831	207
559	2836	202
560	2841	197
561	2847	192
562	2852	187
563	2857	182
564	2862	177
565	2867	172
566	2873	167
567	2878	162
568	2883	157
569	2888	152
570	2893	146
571	2898	141
572	2904	136
573	2909	131
574	2914	126
575	2919	121
576	2924	116
577	2929	111
578	2935	106
579	2940	101
580	2945	96
581	2950	91
582	2955	86
583	2960	81
584	2966	76
585	2971	70
586	2976	65
587	2981	60
588	2986	55
589	2992	50
590	2997	45
591	3002	40
592	3007	35
593	3011	30
594	3016	25
595	3022	20
596	3027	15
597	3032	10
598	3037	5
599	3042	0
